District,Member,Party,Party.1,Prior experience,Education,Assumed office,Residence,Born[2]
New Jersey 5,Josh Gottheimer,,Democratic,AttorneyPolitical aide,"University of Pennsylvania (BA)Pembroke College, OxfordHarvard University (JD)",2017,Wyckoff,(age 47)
New Jersey 6,Frank Pallone,,Democratic,New Jersey SenateLong Branch City Council,Middlebury College (BA)Tufts University (MA)Rutgers University–Camden (JD),1988 (special),Long Branch[50],(age 70)
New Jersey 7,Tom Malinowski,,Democratic,"Assistant Secretary of State for Democracy, Human Rights, and Labor","University of California, Berkeley (BA)St Antony's College, Oxford (MPhil)",2019,Rocky Hill[51][52],(age 56)
New Jersey 8,Albio Sires,,Democratic,Mayor of West New YorkNew Jersey General Assembly,Saint Peter's University (BA)Middlebury College (MA),2006 (special),West New York,(age 71)
New Jersey 9,Bill Pascrell,,Democratic,New Jersey General AssemblyMayor of Paterson,"Fordham University (BA, MA)",1997,Paterson,(age 85)
New Jersey 10,Donald Payne Jr.,,Democratic,Newark Municipal CouncilEssex County Freeholder,Kean University,2012 (special),Newark,(age 63)
New Jersey 11,Mikie Sherrill,,Democratic,Assistant United States Attorney for the District of New JerseyU.S. Navy helicopter pilot,United States Naval Academy (BS)London School of Economics (MSc)Georgetown University (JD),2019,Montclair,(age 50)
New Jersey 12,Bonnie Watson Coleman,,Democratic,New Jersey General Assembly,Rutgers University-CamdenThomas Edison State University (BA),2015,Ewing Township,(age 77)
New Mexico 1,Melanie Stansbury,,Democratic,New Mexico House of Representatives,Saint Mary's College of California (BA)Cornell University (MS),2021 (special),Albuquerque,(age 43)
New Mexico 2,Yvette Herrell,,Republican,New Mexico House of Representatives,ITT Technical Institute (GrCert),2021,Alamogordo,(age 58)
New Mexico 3,Teresa Leger Fernandez,,Democratic,Attorney,Yale University (BA)Stanford University (JD),2021,Santa Fe,(age 63)
New York 1,Lee Zeldin,,Republican,New York Senate,"University at Albany, SUNY (BA)Union University, New York (JD)",2015,Shirley,(age 42)
New York 2,Andrew Garbarino,,Republican,New York State Assembly,George Washington University (BA)Hofstra University (JD),2021,Sayville,(age 37)
New York 3,Thomas Suozzi,,Democratic,County Executive of Nassau CountyMayor of Glen Cove,Boston College (BA)Fordham University (JD),2017,Glen Cove,(age 59)
New York 4,Kathleen Rice,,Democratic,District Attorney of Nassau County,Catholic University of America (BA)Touro College (JD),2015,Garden City,(age 57)
New York 5,Gregory Meeks,,Democratic,New York State Assembly,Adelphi University (BA)Howard University (JD),1998 (special),Queens[53],(age 68)
New York 6,Grace Meng,,Democratic,New York State Assembly,University of Michigan (BA)Yeshiva University (JD),2013,Queens,(age 46)
New York 7,Nydia Velázquez,,Democratic,"Director, Dept. of Puerto Rican Community Affairs","University of Puerto Rico, Río Piedras (BA)New York University (MA)",1993,Brooklyn,(age 69)
New York 8,Hakeem Jeffries,,Democratic,New York State Assembly,Binghamton University (BA)Georgetown University (MPP)New York University (JD),2013,Brooklyn,(age 51)
New York 9,Yvette Clarke,,Democratic,New York City Council,Oberlin CollegeMedgar Evers College,2007,Brooklyn,(age 57)
New York 10,Jerry Nadler,,Democratic,New York State Assembly,Columbia University (BA)Fordham University (JD),1992 (special),Manhattan,(age 75)
New York 11,Nicole Malliotakis,,Republican,New York State Assembly,Seton Hall University (BA)Wagner College (MBA),2021,Staten Island,(age 41)
New York 12,Carolyn Maloney,,Democratic,New York City Council,Greensboro College (BA),1993,Manhattan,(age 76)
New York 13,Adriano Espaillat,,Democratic,New York State SenateNew York State Assembly,"Queens College, City University of New York (BA)",2017,Manhattan,(age 67)
New York 14,Alexandria Ocasio-Cortez,,Democratic,Bartender,Boston University (BA),2019,The Bronx,(age 32)
New York 15,Ritchie Torres,,Democratic,New York City Council,New York University,2021,The Bronx,(age 34)
New York 16,Jamaal Bowman,,Democratic,Middle school principal,University of New Haven (BA)Mercy College (MA)Manhattanville College (EdD),2021,Yonkers,(age 46)
New York 17,Mondaire Jones,,Democratic,Attorney,Stanford University (BA)Harvard University (JD),2021,Nyack,(age 35)
New York 18,Sean Patrick Maloney,,Democratic,Attorney,"Georgetown UniversityUniversity of Virginia (BA, JD)",2013,Cold Spring[54],(age 55)
New York 19,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT,VACANT
New York 20,Paul Tonko,,Democratic,New York State Assembly,Clarkson University (BS),2009,Amsterdam,(age 73)
