District,Member,Party,Party.1,Prior experience,Education,Assumed office,Residence,Born[2]
Texas 26,Michael C. Burgess,,Republican,Physician,"University of North Texas (BS, MS)University of Texas, Houston (MD)University of Texas at Dallas (MS)",2003,Pilot Point[84],(age 71)
Texas 27,Michael Cloud,,Republican,Chair of the Victoria County Republican Party,Oral Roberts University (BS),2018 (special),Victoria,(age 47)
Texas 28,Henry Cuellar,,Democratic,Texas House of RepresentativesTexas Secretary of State,"Laredo Community CollegeGeorgetown University (BA)University of Texas at Austin (JD, PhD)Texas A&M International University (MA)",2005,Laredo,(age 66)
Texas 29,Sylvia Garcia,,Democratic,Texas Senate,Texas Woman's University (BA)Texas Southern University (JD),2019,Houston,(age 71)
Texas 30,Eddie Bernice Johnson,,Democratic,Texas SenateNurse,"St Mary's College, IndianaTexas Christian University (BS)Southern Methodist University (MPA)",1993,Dallas,(age 86)
Texas 31,John Carter,,Republican,Texas state district judge,Texas Tech University (BA)University of Texas at Austin (JD),2003,Round Rock,(age 80)
Texas 32,Colin Allred,,Democratic,AttorneyFootball player,"Baylor University (BA)University of California, Berkeley (JD)",2019,Dallas,(age 39)
Texas 33,Marc Veasey,,Democratic,Texas House of Representatives,Texas Wesleyan University (BA),2013,Fort Worth,(age 51)
Texas 34,Mayra Flores,,Republican,Respiratory therapist,"Texas State Technical College, Harlingen (AA)South Texas College (BS)",2022 (special),McAllen[85],(age 36)
Texas 35,Lloyd Doggett,,Democratic,Texas SenateTexas Supreme Court justiceCollege professor,"University of Texas at Austin (BA, JD)",1995,Austin,(age 75)
Texas 36,Brian Babin,,Republican,Lower Neches Valley AuthorityTexas Historical CommissionMayor of Woodville,"Lamar University (BS)University of Texas, Houston (DDS)",2015,Woodville,(age 74)
Utah 1,Blake Moore,,Republican,United States Foreign Service officer,University of Utah (BA)Northwestern University (MS),2021,Salt Lake City[86],(age 42)
Utah 2,Chris Stewart,,Republican,AuthorBusinessman,Utah State University (BA),2013,Farmington,(age 62)
Utah 3,John Curtis,,Republican,Mayor of Provo,Brigham Young University (BS),2017 (special),Provo,(age 62)
Utah 4,Burgess Owens,,Republican,Businessman National Football League player,University of Miami (BS),2021,Salt Lake City[87],(age 70)
Vermont at-large,Peter Welch,,Democratic,Vermont Senate President Pro Tempore,"College of the Holy Cross (BA)University of California, Berkeley (JD)",2007,Norwich,(age 75)
Virginia 1,Rob Wittman,,Republican,Mayor of Montross Westmoreland County Board of SupervisorsVirginia House of Delegates,Virginia Tech (BS) University of North Carolina at Chapel Hill (MPH) Virginia Commonwealth University (PhD),2007 (special),Montross,(age 63)
Virginia 2,Elaine Luria,,Democratic,U.S. Navy Commander,United States Naval Academy (BS)Old Dominion University (MS),2019,Norfolk,(age 46)
Virginia 3,Bobby Scott,,Democratic,Virginia SenateVirginia House of Delegates,Harvard University (BA)Boston College (JD),1993,Newport News,(age 75)
Virginia 4,Donald McEachin,,Democratic,Virginia SenateVirginia House of Delegates,American University (BA)University of Virginia (JD)Virginia Union University (MDiv),2017,Richmond[88],(age 60)
Virginia 5,Bob Good,,Republican,Liberty University Athletic Director Campbell County Board of Supervisors,"Liberty University (BS, MBA)",2021,Evington[89],(age 56)
Virginia 6,Ben Cline,,Republican,Virginia House of Delegates,Bates College (BA)University of Richmond (JD),2019,Rockbridge County,(age 50)
Virginia 7,Abigail Spanberger,,Democratic,CIA operations officer,University of Virginia (BA)Purdue University (MBA),2019,Glen Allen,(age 42)
Virginia 8,Don Beyer,,Democratic,U.S. Ambassador to Switzerland and LiechtensteinLieutenant Governor of Virginia,Williams College (BA),2015,Alexandria,(age 72)
Virginia 9,Morgan Griffith,,Republican,Virginia House of Delegates,Emory and Henry College (BA) Washington and Lee University (JD),2011,Salem,(age 64)
Virginia 10,Jennifer Wexton,,Democratic,Virginia Senate,"University of Maryland, College Park (BA)College of William and Mary (JD)",2019,Leesburg,(age 54)
Virginia 11,Gerry Connolly,,Democratic,Fairfax County Board of Supervisors Chair,"Maryknoll College (Glen Ellyn, Illinois)[90] (BA)Harvard University (MPA)",2009,Fairfax,(age 72)
Washington 1,Suzan DelBene,,Democratic,Washington Department of Revenue Director,Reed College (BS)University of Washington (MBA),2012 (special),Medina,(age 60)
Washington 2,Rick Larsen,,Democratic,Snohomish County Council,Pacific Lutheran University (BA)University of Minnesota (MPA),2001,Everett[91],(age 57)
Washington 3,Jaime Herrera Beutler,,Republican,Washington House of Representatives,Bellevue CollegeUniversity of Washington (BA),2011,Battle Ground[92],(age 43)
Washington 4,Dan Newhouse,,Republican,Washington House of Representatives,Washington State University (BS),2015,Sunnyside,(age 67)
Washington 5,Cathy McMorris Rodgers,,Republican,Washington House of Representatives,Pensacola Christian College (BA)University of Washington (MBA),2005,Spokane[93],(age 53)
Washington 6,Derek Kilmer,,Democratic,Washington State Senate,"Princeton University (BA)University of Oxford (MA, PhD)",2013,Gig Harbor[94],(age 48)
Washington 7,Pramila Jayapal,,Democratic,Washington State Senate,Georgetown University (BA)Northwestern University (MBA),2017,Seattle,(age 56)
Washington 8,Kim Schrier,,Democratic,Pediatrician,"University of California, Berkeley (BS)University of California, Davis (MD)",2019,Sammamish,(age 53)
Washington 9,Adam Smith,,Democratic,Washington State Senate,Western Washington UniversityFordham University (BA)University of Washington (JD),1997,Bellevue,(age 57)
Washington 10,Marilyn Strickland,,Democratic,Mayor of Tacoma,University of Washington (BA)Clark Atlanta University (MBA),2021,Tacoma,(age 59)
West Virginia 1,David McKinley,,Republican,West Virginia House of DelegatesBusinessman,Purdue University (BS),2011,Wheeling,(age 75)
West Virginia 2,Alex Mooney,,Republican,Maryland Senate,Dartmouth College (BA),2015,Charles Town,(age 51)
West Virginia 3,Carol Miller,,Republican,West Virginia House of Delegates,"Columbia College, South Carolina (BA)",2019,Huntington[95],(age 71)
Wisconsin 1,Bryan Steil,,Republican,Congressional aideAttorney,Georgetown University (BS)University of Wisconsin–Madison (JD),2019,Janesville,(age 41)
Wisconsin 2,Mark Pocan,,Democratic,Wisconsin State Assembly,University of Wisconsin–Madison (BA),2013,Vermont[96],(age 57)
Wisconsin 3,Ron Kind,,Democratic,County Prosecutor,Harvard University (BA)London School of Economics(MA)University of Minnesota (JD),1997,La Crosse,(age 59)
Wisconsin 4,Gwen Moore,,Democratic,Wisconsin State SenateWisconsin State Assembly,Marquette University (BA),2005,Milwaukee,(age 71)
Wisconsin 5,Scott Fitzgerald,,Republican,Wisconsin State Senate,University of Wisconsin–Oshkosh (BS),2021,Clyman[97],(age 58)
Wisconsin 6,Glenn Grothman,,Republican,Wisconsin SenateWisconsin State Assembly,"University of Wisconsin–Madison (BA, JD)",2015,Glenbeulah[98],(age 67)
Wisconsin 7,Tom Tiffany,,Republican,Wisconsin SenateWisconsin State Assembly,University of Wisconsin–River Falls (BS),2020 (special),Minocqua,(age 64)
Wisconsin 8,Mike Gallagher,,Republican,Political advisorU.S. Marine Corps,"Princeton University (BA)National Intelligence University (MS)Georgetown University (MA, MS, PhD)",2017,Green Bay,(age 38)
Wyoming at-large,Liz Cheney,,Republican,Principal Deputy Assistant Secretary of State for Near Eastern Affairs,Colorado College (BA)University of Chicago (JD),2017,Wilson[99],(age 55)
