title,link
Kampus Merdeka Apakah Berpengaruh terhadap Gerakan Mahasiswa Kemajuan atau Kemunduran ,https://www.kompasiana.com/fazrihasan/62ce2f726fcfba31b37dc9c2/kampus-merdeka-apakah-berpengaruh-terhadap-gerakan-mahasiswa-kemajuan-atau-kemunduran
Mahasiswa Kampus Mengajar Angkatan 3 ditugaskan di SDS NU Karangrejo 03 Gumukmas ,https://www.kompasiana.com/zayyannisrina10729783/62e0ccc53555e46de126d374/mahasiswa-kampus-mengajar-angkatan-3-ditugaskan-di-sds-nu-karangrejo-03-gumukmas
Kemendikbudristek Terus Sinergi dan Kolaborasi dengan Pemda dalam Implementasi Kurikulum Merdeka ,https://www.suarasurabaya.net/kelanakota/2022/kemendikbudristek-terus-sinergi-dan-kolaborasi-dengan-pemda-dalam-implementasi-kurikulum-merdeka/
Pengalaman Mengikuti Studi Independen Kampus Merdeka Batch 2 di Binar Academy ,https://kumparan.com/i-dewa-gde-satria-pramana-erlangga/pengalaman-mengikuti-studi-independen-kampus-merdeka-batch-2-di-binar-academy-1yUZl64cbAb
Mahasiswa Universitas 17 Agustus 1945 Melaksanakan Pertukaran Mahasiswa ,https://www.kompasiana.com/yohanesnandyanto/62dff1d208a8b507e64ce1a2/mahasiswa-universitas-17-agustus-1945-melaksanakan-pertukaran-mahasiswa
UNISMA Raih Dana Hibah Total Rp18Milyar pada Program Kompetisi Kampus Merdeka PKKM 2022 ,https://lenteratoday.com/unisma-raih-dana-hibah-total-rp-18milyar-pada-program-kompetisi-kampus-merdeka-pkkm-2022/
Menpora Menjadi Dosen Praktisi di Unnes untuk Program Kampus Merdeka ,https://edukasi.okezone.com/read/2022/07/06/65/2624438/menpora-menjadi-dosen-praktisi-di-unnes-untuk-program-kampus-merdeka
Sempat Diundur Pengumuman Kampus Mengajar Angkatan 4 Diumumkan Besok 8 Juli 2022 ,https://tekno.tempo.co/read/1609767/sempat-diundur-pengumuman-kampus-mengajar-angkatan-4-diumumkan-besok-8-juli-2022
74 Mahasiswa Unkhair Ternate Gelar MBKM di Halmahera Barat ,https://indotimur.com/pendidikan/74-mahasiswa-unkhair-ternate-gelar-mbkm-di-halmahera-barat
UPJ Raih Hibah Kompetisi Kampus Merdeka 2022 Siap ke Ajang Internasional ,https://www.detik.com/edu/perguruan-tinggi/d-6155468/upj-raih-hibah-kompetisi-kampus-merdeka-2022-siap-ke-ajang-internasional
Wisuda Offline Perdana Rektor Unesa Tantangan Lulusan ke Depan Semakin Tidak Mudah ,https://www.suarasurabaya.net/kelanakota/2022/wisuda-offline-perdana-rektor-unesa-tantangan-lulusan-ke-depan-semakin-tidak-mudah/
Prilly Latuconsina Sebut Belajar di Luar Kelas Akan Memperkaya Pengetahuan dan Pengalaman Mahasiswa ,https://sumbatimur.victorynews.id/humaniora/pr-3433996502/prilly-latuconsina-sebut-belajar-di-luar-kelas-akan-memperkaya-pengetahuan-dan-pengalaman-mahasiswa
Plt Dirjen Dikti Prof Nizam Undana Harus Berani Berubah  Direktorat Jenderal Pendidikan Tinggi Kementerian Pendidikan dan Kebudayaan Republik Indonesia ,http://www.dikti.kemdikbud.go.id/kabar-dikti/kampus-kita/plt-dirjen-dikti-prof-nizam-undana-harus-berani-berubah/
Unram Gelar PKKMB Jalur SNMPTN Diikuti 1074 Mahasiswa Baru ,https://lombokpost.jawapos.com/pendidikan/27/07/2022/unram-gelar-pkkmb-jalur-snmptn-diikuti-1-074-mahasiswa-baru/
Mahasiswa FISIP USK dilibatkan program kampus merdeka bersama Kemendes ,https://www.antaranews.com/berita/2965909/mahasiswa-fisip-usk-dilibatkan-program-kampus-merdeka-bersama-kemendes
Politani Kupang Terus Matangkan Persiapan Dalam Mendukung Program Merdeka Belajar Kampus Merdeka ,https://kupang.tribunnews.com/2022/07/14/politani-kupang-terus-matangkan-persiapan-dalam-mendukung-program-merdeka-belajar-kampus-merdeka
Mahasiswa Prodi Akuntansi FEB Unisba Berdayakan Koperasi Syariah Jatiendah Ini Alasannya ,https://galamedia.pikiran-rakyat.com/humaniora/pr-355116792/mahasiswa-prodi-akuntansi-feb-unisba-berdayakan-koperasi-syariah-jatiendah-ini-alasannya
Kampus Merdeka dan Konten Kreator ,https://topsumbar.co.id/2021/04/kampus-merdeka-dan-konten-kreator/
Isu Dikotomi PTN dan PTS Harus Dihilangkan ,https://www.beritasatu.com/news/956853/isu-dikotomi-ptn-dan-pts-harus-dihilangkan
PKS Nilai Ide Bagus Peserta Pemilu Boleh Kampanye di Kampus  merdeka ,https://www.merdeka.com/politik/pks-nilai-ide-bagus-peserta-pemilu-boleh-kampanye-di-kampus.html
Merdeka Belajar dan Kualitas Pendidikan Tinggi ,https://www.jawapos.com/opini/19/07/2022/merdeka-belajar-dan-kualitas-pendidikan-tinggi/
Kerja Sama dengan ISI Solo Keraton Kasunanan Jadi Kampus Merdeka ,https://www.detik.com/jateng/budaya/d-6152210/kerja-sama-dengan-isi-solo-keraton-kasunanan-jadi-kampus-merdeka
Mahasiswa Magang MBKM Ditarik Bupati Jember Persilahkan Magang Lagi  Direktorat Jenderal Pendidikan Tinggi Kementerian Pendidikan dan Kebudayaan Republik Indonesia ,https://dikti.kemdikbud.go.id/kabar-dikti/kampus-kita/mahasiswa-magang-mbkm-ditarik-bupati-jember-persilahkan-magang-lagi/
11 Mahasiswa STT Bandung Siap Mengikuti Program Kampus Mengajar Batch IV ,https://www.destinasibandung.co.id/11-mahasiswa-stt-bandung-siap-mengikuti-program-kampus-mengajar-batch-iv.html
HIMASA Kenalkan Metode Magang dan PKL Mahasiswa ,https://www.republika.co.id/berita/rfnyfi423/himasa-kenalkan-metode-magang-dan-pkl-mahasiswa
Bupati Garut Harap 1315 Peserta KKN Mahasiswa Uniga Mampu Jadi Agen Perubahan di Masyarakat ,https://hariangarutnews.com/2022/07/27/bupati-garut-harap-1-315-peserta-kkn-mahasiswa-uniga-mampu-jadi-agen-perubahan-di-masyarakat/
